Air Pollution - Particulate Matter for United States by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019"

Sorted by Percent

County,FIPS,Micrograms per cubic meter (PM2.5)(2)
"United States",00000,7.4
"San Bernardino County, California",06071,15.6
"Fairbanks North Star, Alaska",02090,15.5
"Allegheny County, Pennsylvania",42003,14.1
"San Diego County, California",06073,13.8
"Los Angeles County, California",06037,13.4
"Kern County, California",06029,12.9
"Tulare County, California",06107,12.9
"Riverside County, California",06065,12.7
"Wayne County, Michigan",26163,12.7
"Marion County, Indiana",18097,12.6
"Kings County, California",06031,12.3
"Plumas County, California",06063,12.2
"Butler County, Ohio",39017,12.0
"Hamilton County, Ohio",39061,12.0
"Fresno County, California",06019,11.7
"Lincoln County, Montana",30053,11.6
"Pinal County, Arizona",04021,11.3
"Madison County, Illinois",17119,11.2
"Lancaster County, Pennsylvania",42071,11.1
"Bergen County, New Jersey",34003,11.0
"DuPage County, Illinois",17043,11.0
"Cuyahoga County, Ohio",39035,10.9
"Starr County, Texas",48427,10.9
"Cook County, Illinois",17031,10.8
"Cumberland County, Pennsylvania",42041,10.8
"Delaware County, Pennsylvania",42045,10.8
"Dougherty County, Georgia",13095,10.8
"Gwinnett County, Georgia",13135,10.8
"Imperial County, California",06025,10.8
"Kootenai County, Idaho",16055,10.8
"Caddo Parish, Louisiana",22017,10.7
"Fort Bend County, Texas",48157,10.7
"Harris County, Texas",48201,10.7
"Hidalgo County, Texas",48215,10.7
"Jefferson County, Alabama",01073,10.7
"Richmond County, Georgia",13245,10.7
"St. Louis City, Missouri",29510,10.7
"Webb County, Texas",48479,10.7
"Shelby County, Alabama",01117,10.6
"Stanislaus County, California",06099,10.6
"Brazoria County, Texas",48039,10.5
"Clark County, Ohio",39023,10.5
"Jefferson County, Kentucky",21111,10.5
"Montgomery County, Ohio",39113,10.5
"Montgomery County, Texas",48339,10.5
"Warren County, Ohio",39165,10.5
"Barrow County, Georgia",13013,10.4
"Benton County, Washington",53005,10.4
"Bonner County, Idaho",16017,10.4
"Cherokee County, Georgia",13057,10.4
"Forsyth County, Georgia",13117,10.4
"Franklin County, Washington",53021,10.4
"Klamath County, Oregon",41035,10.4
"Walton County, Georgia",13297,10.4
"Bossier Parish, Louisiana",22015,10.3
"Camden County, New Jersey",34007,10.3
"Columbia County, Georgia",13073,10.3
"Greene County, Ohio",39057,10.3
"Lake County, Indiana",18089,10.3
"Madison County, Mississippi",28089,10.3
"Pulaski County, Arkansas",05119,10.3
"Rockdale County, Georgia",13247,10.3
"Stark County, Ohio",39151,10.3
"Winnebago County, Illinois",17201,10.3
"Aiken County, South Carolina",45003,10.2
"Bartow County, Georgia",13015,10.2
"Hamilton County, Indiana",18057,10.2
"Harney County, Oregon",41025,10.2
"Hendricks County, Indiana",18063,10.2
"Henry County, Georgia",13151,10.2
"Marion County, Oregon",41047,10.2
"Newton County, Georgia",13217,10.2
"Paulding County, Georgia",13223,10.2
"Rankin County, Mississippi",28121,10.2
"Union County, New Jersey",34039,10.2
"Vigo County, Indiana",18167,10.2
"Wake County, North Carolina",37183,10.2
"Willacy County, Texas",48489,10.2
"Zapata County, Texas",48505,10.2
"Benewah County, Idaho",16009,10.1
"Clackamas County, Oregon",41005,10.1
"Douglas County, Georgia",13097,10.1
"Faulkner County, Arkansas",05045,10.1
"Houston County, Georgia",13153,10.1
"Jackson County, Georgia",13157,10.1
"Jim Hogg County, Texas",48247,10.1
"Kendall County, Illinois",17093,10.1
"Lee County, Alabama",01081,10.1
"Miami County, Ohio",39109,10.1
"Saline County, Arkansas",05125,10.1
"Waller County, Texas",48473,10.1
"Autauga County, Alabama",01001,10.0
"Boone County, Indiana",18011,10.0
"Butler County, Pennsylvania",42019,10.0
"Cleveland County, Oklahoma",40027,10.0
"Delaware County, Ohio",39041,10.0
"Denton County, Texas",48121,10.0
"Denver County, Colorado",08031,10.0
"Elmore County, Alabama",01051,10.0
"Floyd County, Indiana",18043,10.0
"Franklin County, Ohio",39049,10.0
"Kenton County, Kentucky",21117,10.0
"Madera County, California",06039,10.0
"Monroe County, Georgia",13207,10.0
"Morgan County, Georgia",13211,10.0
"Oconee County, Georgia",13219,10.0
"St. Clair County, Alabama",01115,10.0
"Talladega County, Alabama",01121,10.0
"Umatilla County, Oregon",41059,10.0
"Baldwin County, Georgia",13009,9.9
"Beaver County, Pennsylvania",42007,9.9
"Brooks County, Texas",48047,9.9
"Bullitt County, Kentucky",21029,9.9
"Butts County, Georgia",13035,9.9
"Canadian County, Oklahoma",40017,9.9
"Chilton County, Alabama",01021,9.9
"Clarke County, Georgia",13059,9.9
"Clermont County, Ohio",39025,9.9
"Collin County, Texas",48085,9.9
"DeKalb County, Illinois",17037,9.9
"Fayette County, Georgia",13113,9.9
"Floyd County, Georgia",13115,9.9
"Greene County, Georgia",13133,9.9
"Jasper County, Georgia",13159,9.9
"Jones County, Georgia",13169,9.9
"Lee County, Georgia",13177,9.9
"Linn County, Oregon",41043,9.9
"Lowndes County, Mississippi",28087,9.9
"Madison County, Ohio",39097,9.9
"McClain County, Oklahoma",40087,9.9
"Ouachita County, Arkansas",05103,9.9
"Peach County, Georgia",13225,9.9
"Putnam County, Georgia",13237,9.9
"Webster Parish, Louisiana",22119,9.9
"Williamson County, Texas",48491,9.9
"Bibb County, Alabama",01007,9.8
"Boone County, Kentucky",21015,9.8
"Burke County, Georgia",13033,9.8
